excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
01/2019;HAC;2019;1;I;0 a 4;4;0;0,0;0
01/2019;HAC;2019;1;II;5 a 9;8;2;0,16;0
01/2019;HAC;2019;1;III;10 a 14;15;9;1,35;2
01/2019;HAC;2019;1;IV;15 a 19;25;10;2,5;3
01/2019;HAC;2019;1;V;20 a 24;40;4;1,6;2
01/2019;HAC;2019;1;VI;25 a 29;55;1;0,55;1
01/2019;HAC;2019;1;VII;30 a 34;75;1;0,75;1
01/2019;HAC;2019;1;VIII;> 34;85;0;0,0;0
01/2019;HEM;2019;1;I;0 a 4;4;0;0,0;0
01/2019;HEM;2019;1;II;5 a 9;8;0;0,0;0
01/2019;HEM;2019;1;III;10 a 14;15;7;1,05;0
01/2019;HEM;2019;1;IV;15 a 19;25;5;1,25;2
01/2019;HEM;2019;1;V;20 a 24;40;5;2,0;0
01/2019;HEM;2019;1;VI;25 a 29;55;7;3,85;2
01/2019;HEM;2019;1;VII;30 a 34;75;1;0,75;1
01/2019;HEM;2019;1;VIII;> 34;85;4;3,4;4
01/2019;HJK;2019;1;I;0 a 4;4;60;2,4;2
01/2019;HJK;2019;1;II;5 a 9;8;141;11,280000000000001;6
01/2019;HJK;2019;1;III;10 a 14;15;184;27,700000000000003;9
01/2019;HJK;2019;1;IV;15 a 19;25;168;42,05;21
01/2019;HJK;2019;1;V;20 a 24;40;105;42,0;23
01/2019;HJK;2019;1;VI;25 a 29;55;42;23,15;17
01/2019;HJK;2019;1;VII;30 a 34;75;30;22,55;12
01/2019;HJK;2019;1;VIII;> 34;85;17;14,45;14
01/2019;HJXXIII;2019;1;I;0 a 4;4;6;0,24;0
01/2019;HJXXIII;2019;1;II;5 a 9;8;11;0,88;1
01/2019;HJXXIII;2019;1;III;10 a 14;15;26;3,9;1
01/2019;HJXXIII;2019;1;IV;15 a 19;25;30;7,5;7
01/2019;HJXXIII;2019;1;V;20 a 24;40;28;11,2;7
01/2019;HJXXIII;2019;1;VI;25 a 29;55;26;14,3;1
01/2019;HJXXIII;2019;1;VII;30 a 34;75;1;0,75;0
01/2019;HJXXIII;2019;1;VIII;> 34;85;1;0,85;0
01/2019;HRAD;2019;1;I;0 a 4;4;3;0,12;0
01/2019;HRAD;2019;1;II;5 a 9;8;16;1,28;0
01/2019;HRAD;2019;1;III;10 a 14;15;16;2,4;1
01/2019;HRAD;2019;1;IV;15 a 19;25;14;3,5;3
01/2019;HRAD;2019;1;V;20 a 24;40;13;5,2;6
01/2019;HRAD;2019;1;VI;25 a 29;55;5;2,75;2
01/2019;HRAD;2019;1;VII;30 a 34;75;3;2,25;2
01/2019;HRAD;2019;1;VIII;> 34;85;1;0,85;0
01/2019;HRBJA;2019;1;I;0 a 4;4;0;0,0;0
01/2019;HRBJA;2019;1;II;5 a 9;8;0;0,0;0
01/2019;HRBJA;2019;1;III;10 a 14;15;0;0,0;0
01/2019;HRBJA;2019;1;IV;15 a 19;25;0;0,0;0
01/2019;HRBJA;2019;1;V;20 a 24;40;0;0,0;0
01/2019;HRBJA;2019;1;VI;25 a 29;55;0;0,0;0
01/2019;HRBJA;2019;1;VII;30 a 34;75;0;0,0;0
01/2019;HRBJA;2019;1;VIII;> 34;85;0;0,0;0
01/2019;HRJP;2019;1;I;0 a 4;4;0;0,0;0
01/2019;HRJP;2019;1;II;5 a 9;8;6;0,48;1
01/2019;HRJP;2019;1;III;10 a 14;15;15;2,25;3
01/2019;HRJP;2019;1;IV;15 a 19;25;13;3,25;2
01/2019;HRJP;2019;1;V;20 a 24;40;1;0,4;0
01/2019;HRJP;2019;1;VI;25 a 29;55;0;0,0;0
01/2019;HRJP;2019;1;VII;30 a 34;75;0;0,0;0
01/2019;HRJP;2019;1;VIII;> 34;85;0;0,0;0
01/2019;MOV;2019;1;I;0 a 4;4;0;0,0;0
01/2019;MOV;2019;1;II;5 a 9;8;0;0,0;0
01/2019;MOV;2019;1;III;10 a 14;15;0;0,0;0
01/2019;MOV;2019;1;IV;15 a 19;25;0;0,0;0
01/2019;MOV;2019;1;V;20 a 24;40;0;0,0;0
01/2019;MOV;2019;1;VI;25 a 29;55;0;0,0;0
01/2019;MOV;2019;1;VII;30 a 34;75;0;0,0;0
01/2019;MOV;2019;1;VIII;> 34;85;0;0,0;0
02/2019;HAC;2019;2;I;0 a 4;4;2;0,08;0
02/2019;HAC;2019;2;II;5 a 9;8;8;0,64;0
02/2019;HAC;2019;2;III;10 a 14;15;15;2,25;0
02/2019;HAC;2019;2;IV;15 a 19;25;10;2,5;0
02/2019;HAC;2019;2;V;20 a 24;40;3;1,2;0
02/2019;HAC;2019;2;VI;25 a 29;55;1;0,55;1
02/2019;HAC;2019;2;VII;30 a 34;75;0;0,0;0
02/2019;HAC;2019;2;VIII;> 34;85;0;0,0;0
02/2019;HEM;2019;2;I;0 a 4;4;0;0,0;0
02/2019;HEM;2019;2;II;5 a 9;8;3;0,24;0
02/2019;HEM;2019;2;III;10 a 14;15;3;0,45;1
02/2019;HEM;2019;2;IV;15 a 19;25;2;0,5;1
02/2019;HEM;2019;2;V;20 a 24;40;4;1,6;2
02/2019;HEM;2019;2;VI;25 a 29;55;4;2,2;1
02/2019;HEM;2019;2;VII;30 a 34;75;2;1,5;2
02/2019;HEM;2019;2;VIII;> 34;85;3;2,55;2
02/2019;HJK;2019;2;I;0 a 4;4;60;2,4;2
02/2019;HJK;2019;2;II;5 a 9;8;143;11,440000000000001;6
02/2019;HJK;2019;2;III;10 a 14;15;194;29,200000000000003;10
02/2019;HJK;2019;2;IV;15 a 19;25;165;41,3;18
02/2019;HJK;2019;2;V;20 a 24;40;105;42,0;23
02/2019;HJK;2019;2;VI;25 a 29;55;44;24,25;16
02/2019;HJK;2019;2;VII;30 a 34;75;29;21,8;11
02/2019;HJK;2019;2;VIII;> 34;85;18;15,3;12
02/2019;HJXXIII;2019;2;I;0 a 4;4;5;0,2;0
02/2019;HJXXIII;2019;2;II;5 a 9;8;7;0,56;0
02/2019;HJXXIII;2019;2;III;10 a 14;15;16;2,4;2
02/2019;HJXXIII;2019;2;IV;15 a 19;25;38;9,5;3
02/2019;HJXXIII;2019;2;V;20 a 24;40;30;12,0;4
02/2019;HJXXIII;2019;2;VI;25 a 29;55;16;8,8;3
02/2019;HJXXIII;2019;2;VII;30 a 34;75;2;1,5;0
02/2019;HJXXIII;2019;2;VIII;> 34;85;5;4,25;2
02/2019;HRAD;2019;2;I;0 a 4;4;0;0,0;0
02/2019;HRAD;2019;2;II;5 a 9;8;15;1,2;0
02/2019;HRAD;2019;2;III;10 a 14;15;25;3,75;1
02/2019;HRAD;2019;2;IV;15 a 19;25;13;3,25;2
02/2019;HRAD;2019;2;V;20 a 24;40;6;2,4;2
02/2019;HRAD;2019;2;VI;25 a 29;55;2;1,1;2
02/2019;HRAD;2019;2;VII;30 a 34;75;2;1,5;2
02/2019;HRAD;2019;2;VIII;> 34;85;0;0,0;0
02/2019;HRBJA;2019;2;I;0 a 4;4;0;0,0;0
02/2019;HRBJA;2019;2;II;5 a 9;8;0;0,0;0
02/2019;HRBJA;2019;2;III;10 a 14;15;0;0,0;0
02/2019;HRBJA;2019;2;IV;15 a 19;25;0;0,0;0
02/2019;HRBJA;2019;2;V;20 a 24;40;0;0,0;0
02/2019;HRBJA;2019;2;VI;25 a 29;55;0;0,0;0
02/2019;HRBJA;2019;2;VII;30 a 34;75;0;0,0;0
